Place,County,Population,Density,PerCapitaIncome,MedianIncome1,MedianIncome2
TRAVER,Tulare,910,1079.5,12035,38359,31563
TRES PINOS,San Benito,457,127.1,40395,75893,124000
TRINIDAD,Humboldt,236,486.6,34981,42917,83750
TRINITY CENTER,Trinity,239,45.7,24426,26859,26830
TRINITY VILLAGE,Trinity,211,52.6,25325,32292,33571
TRONA,Inyo,0,0,NA,NA,NA
TROWBRIDGE,Sutter,184,27.3,19087,52917,78750
TRUCKEE,Nevada,16191,500.9,37117,72159,82356
TULARE,Tulare,60663,2977.3,18336,46387,50690
TULELAKE,Siskiyou,1029,2509.8,17233,35208,35227
TUOLUMNE CITY,Tuolumne,1824,782.2,21238,33030,34821
TUPMAN,Kern,176,333.3,16889,45313,45938
TURLOCK,Stanislaus,69875,4127.8,22847,51594,59645
TUSTIN,Orange,77765,6988.2,31392,71105,77327
TUTTLE,Merced,17,9.7,NA,NA,NA
TUTTLETOWN,Tuolumne,949,129.1,35006,47794,60724
TWAIN,Plumas,0,0,NA,NA,NA
TWAIN HARTE,Tuolumne,2374,641.8,29206,43625,58939
TWENTYNINE PALMS,San Bernardino,25601,432.9,20510,40890,42914
TWIN LAKES,Santa Cruz,5212,7553.6,33493,50933,72432
UKIAH,Mendocino,15956,3416.7,23443,42237,53145
UNION CITY,Alameda,71675,3694.6,30158,82564,93050
"UNIVERSITY OF CALIFORNIA, DAVIS",Yolo,6735,4603.6,6412,25462,29095
"UNIVERSITY OF CALIFORNIA, MERCED",Merced,0,0,NA,NA,NA
UPLAND,San Bernardino,75089,4808.2,29064,61551,68353
UPPER LAKE,Lake,755,448.9,18717,32438,47880
VACAVILLE,Solano,93994,3311.6,30111,74207,85931
VALINDA,Los Angeles,23818,11826.2,17809,66697,67367
VALLECITO,Calaveras,573,66.9,28131,83487,84375
VALLEJO,Solano,118078,3849.8,25945,58472,67543
VALLE VISTA,Riverside,15995,2328.9,20501,40010,46584
VALLEY ACRES,Kern,717,173.9,28066,47466,60938
VALLEY CENTER,San Diego,9872,360,31746,85176,94094
VALLEY FORD,Sonoma,167,63.2,9490,9312,NA
VALLEY HOME,Stanislaus,292,284.9,16302,36964,37321
VALLEY RANCH,Plumas,68,59.8,44196,115000,115000
VALLEY SPRINGS,Calaveras,3631,367.8,28566,67827,71964
VALLEY WELLS,Inyo,0,0,NA,NA,NA
VAL VERDE,Los Angeles,2550,994.2,19594,68017,69856
VANDENBERG AFB,Santa Barbara,3464,157.2,20710,61308,60260
VANDENBERG VILLAGE,Santa Barbara,7133,1359.4,34667,77551,98265
VERDI,Sierra,92,22,11680,4853,NA
VERNON,Los Angeles,59,11.9,19973,38500,38250
VICTOR,San Joaquin,605,482.1,7873,19259,35250
VICTORVILLE,San Bernardino,119603,1631,15873,47142,50608
VIEW PARK-WINDSOR HILLS,Los Angeles,11374,6178.2,44586,76461,109939
VILLA PARK,Orange,5911,2843.2,65733,150864,157910
VINA,Tehama,161,119.1,17404,26250,24821
VINCENT,Los Angeles,17687,12015.6,20142,76682,74880
VINE HILL,Contra Costa,4296,2860.2,21948,62857,65729
VINEYARD,Sacramento,25640,1490.4,26688,76084,78987
VISALIA,Tulare,126942,3407.1,22885,52262,56766
VISTA,San Diego,96181,5148.9,21161,47782,53505
VISTA SANTA ROSA,Riverside,2815,174.6,15530,52713,49688
VOLCANO,Amador,0,0,NA,NA,NA
VOLTA,Merced,257,58.8,19853,42464,63500
WALKER,Mono,540,29.3,39294,63889,77461
WALLACE,Calaveras,682,157.1,53687,72120,105056
WALNUT,Los Angeles,29822,3316.5,35064,100934,107750
WALNUT CREEK,Contra Costa,65923,3336.4,51998,80399,112114
WALNUT GROVE,Sacramento,1137,111.5,32844,65463,70240
WALNUT PARK,Los Angeles,16039,21442.5,13044,41202,41809
WARM SPRINGS,Riverside,3163,2132.8,20851,80042,75714
WARNER VALLEY,Plumas,5,0.3,NA,NA,NA
WASCO,Kern,25865,2744,10931,39273,40437
WASHINGTON,Nevada,17,8.9,NA,NA,NA
WATERFORD,Stanislaus,8579,3685.1,15757,44660,49583
WATERLOO,San Joaquin,384,70.7,36472,132125,143083
WATSONVILLE,Santa Cruz,52085,7787.8,17377,46691,48957
WAUKENA,Tulare,173,183.7,18462,46750,66094
WAWONA,Mariposa,167,26.3,16110,47656,7308
WEAVERVILLE,Trinity,3294,316,24043,42165,52712
WEED,Siskiyou,2937,613.2,14202,29200,37639
WEEDPATCH,Kern,2170,610.1,9981,28075,28636
WELDON,Kern,2604,97.7,19074,30988,46875
WEOTT,Humboldt,152,202.4,27832,93393,93393
WEST ATHENS,Los Angeles,8615,6448.4,16499,38371,41473
WEST BISHOP,Inyo,2865,327.1,37527,83125,93571
WEST CARSON,Los Angeles,20766,9164.2,28307,62414,72548
WEST COVINA,Los Angeles,107441,6697.9,24944,67069,72751
WEST GOSHEN,Tulare,633,537.4,7653,20350,14572
WESTHAVEN-MOONSTONE,Humboldt,962,118.9,30340,54261,60750
WEST HOLLYWOOD,Los Angeles,35053,18576,54352,56025,70438
WESTLAKE VILLAGE,Los Angeles,8393,1618.7,62394,115550,145106
WESTLEY,Stanislaus,853,489.4,7011,18462,18462
WEST MENLO PARK,San Mateo,3743,7685.8,82841,169798,192250
WESTMINSTER,Orange,91255,9086.4,22821,53660,57262
WEST MODESTO,Stanislaus,5534,2786.5,12356,27297,28103
WESTMONT,Los Angeles,30835,16685.6,14176,27072,31813
WESTMORLAND,Imperial,1747,2961,11257,22372,24464
WEST PARK,Fresno,792,442,14550,36389,38167
WEST POINT,Calaveras,743,199.8,17924,28262,29022
WEST PUENTE VALLEY,Los Angeles,23868,12770.5,17005,62669,65052
WEST RANCHO DOMINGUEZ,Los Angeles,21739,5470.3,16783,44909,48736
WEST SACRAMENTO,Yolo,49946,2323.5,25081,53307,62905
WEST WHITTIER-LOS NIETOS,Los Angeles,26590,10555.8,19949,62486,65326
WESTWOOD,Lassen,1509,277.6,20710,33452,54135
WHEATLAND,Yuba,3494,2143.6,21363,61370,66347
WHITEHAWK,Plumas,41,15.9,37346,76944,NA
WHITEWATER,Riverside,469,47.5,13003,15500,34375
WHITLEY GARDENS,San Luis Obispo,166,120.6,47110,85385,103971
WHITTIER,Los Angeles,86400,5898,27632,65583,74628
WILDOMAR,Riverside,33601,1418.5,22380,60816,63592
WILKERSON,Inyo,550,96,32961,73125,76750
WILLIAMS,Colusa,5166,948.9,18878,54069,56232
WILLITS,Mendocino,4853,1734.5,18502,34186,50233
WILLOWBROOK,Los Angeles,20897,13508.1,11840,37760,37750
WILLOW CREEK,Humboldt,1425,47,18701,35607,53523
WILLOWS,Glenn,6118,2148.9,24044,38730,59952
WILSONIA,Tulare,0,0,NA,NA,NA
WILTON,Sacramento,4670,161,36737,81250,99135
WINCHESTER,Riverside,2717,351.4,26244,57935,59293
WINDSOR,Sonoma,27113,3730.5,33615,81442,93921
WINTER GARDENS,San Diego,20346,4593.8,26701,61759,66738
WINTERHAVEN,Imperial,151,618.9,17087,21793,NA
WINTERS,Yolo,6843,2331.5,27983,59856,67422
WINTON,Merced,11774,3871.8,13230,41091,41203
WOFFORD HEIGHTS,Kern,2043,337.3,23742,30500,43750
WOODACRE,Marin,1778,989.4,50853,88657,104783
WOODBRIDGE,San Joaquin,3973,1318.6,34483,72452,91701
WOODCREST,Riverside,15951,1397.9,29068,86095,88207
WOODLAKE,Tulare,7452,3227.4,12469,35509,37711
WOODLAND,Yolo,56390,3684.2,25149,54532,66901
WOODLANDS,San Luis Obispo,448,271.2,59986,79864,88864
WOODSIDE,San Mateo,5427,462.6,125559,206528,242143
WOODVILLE,Tulare,1961,450.6,11897,34750,31071
WRIGHTWOOD,San Bernardino,4452,751.3,29168,55697,57139
YANKEE HILL,Butte,242,40.2,21555,33500,53875
YETTEM,Tulare,285,1862.7,7478,NA,NA
YOLO,Yolo,561,406.5,22830,75089,90764
YORBA LINDA,Orange,66335,3434.6,47852,115994,128542
YOSEMITE LAKES,Madera,4668,223.3,34430,59750,69583
YOSEMITE VALLEY,Mariposa,877,425.9,26579,37250,111875
YOUNTVILLE,Napa,2977,1944.5,51554,65568,90391
YREKA,Siskiyou,7675,768.7,18142,26385,31728
YUBA CITY,Sutter,65141,4446.8,23038,50494,56734
YUCAIPA,San Bernardino,52406,1845.2,26103,58506,69098
YUCCA VALLEY,San Bernardino,21083,526.9,20643,43086,53767
ZAYANTE,Santa Cruz,853,313,31533,81308,93490
